valueDateTimeOffset,premium,volatility_index,rate_differential,trading_volume,currency_a_strength,currency_b_strength,economic_trend,session_asian,session_european,session_us,high_volatility,is_weekend
2024-01-02 02:00:00+00:00,1.3209,14.25,2.6034,1325,108.35,101.69,-0.0082,1,0,0,0,0
2024-01-02 03:00:00+00:00,1.3951,21.88,2.6357,1312,108.56,101.27,-0.0085,1,0,0,0,0
2024-01-02 04:00:00+00:00,1.4502,17.0,2.6423,1320,108.67,100.95,-0.0088,1,0,0,0,0
2024-01-02 05:00:00+00:00,1.527,18.54,2.6169,1438,108.8,100.44,-0.008,1,0,0,0,0
2024-01-02 06:00:00+00:00,1.5959,16.99,2.6246,1626,108.94,100.03,-0.0046,1,0,0,0,0
2024-01-02 07:00:00+00:00,1.7086,29.26,2.6473,1429,109.0,99.53,-0.0098,1,0,0,1,0
2024-01-02 08:00:00+00:00,1.7566,19.93,2.6337,1469,109.14,98.99,-0.0014,1,0,0,0,0
2024-01-02 09:00:00+00:00,1.7357,14.71,2.6296,1280,109.26,98.59,-0.0002,1,0,0,0,0
2024-01-02 10:00:00+00:00,1.7701,24.11,2.6286,1326,109.29,98.18,0.0035,0,1,0,1,0
2024-01-02 11:00:00+00:00,1.7081,13.9,2.6117,1198,109.42,97.76,0.0003,0,1,0,0,0
2024-01-02 12:00:00+00:00,1.6924,21.04,2.6235,1185,109.54,97.35,0.0067,0,1,0,0,0
2024-01-02 13:00:00+00:00,1.6038,10.2,2.6199,853,109.63,97.11,0.0055,0,1,0,0,0
2024-01-02 14:00:00+00:00,1.5351,13.36,2.627,817,109.68,96.71,0.0068,0,1,0,0,0
2024-01-02 15:00:00+00:00,1.4953,20.98,2.608,656,109.76,96.36,0.0022,0,1,0,0,0
2024-01-02 16:00:00+00:00,1.442,23.69,2.5982,697,109.83,95.96,-0.0028,0,1,0,1,0
2024-01-02 17:00:00+00:00,1.3875,20.86,2.6117,445,109.86,95.62,0.0006,0,0,1,0,0
2024-01-02 18:00:00+00:00,1.359,19.42,2.6031,575,109.83,95.26,-0.0016,0,0,1,0,0
2024-01-02 19:00:00+00:00,1.3053,18.49,2.6366,498,109.83,94.91,-0.0058,0,0,1,0,0
2024-01-02 20:00:00+00:00,1.2868,12.61,2.6272,561,109.87,94.68,-0.0091,0,0,1,0,0
2024-01-02 21:00:00+00:00,1.2997,16.4,2.6305,656,109.81,94.44,-0.0056,0,0,1,0,0
2024-01-02 22:00:00+00:00,1.3221,17.7,2.6478,775,109.86,94.16,-0.0087,0,0,1,0,0
2024-01-02 23:00:00+00:00,1.3716,25.29,2.618,859,109.78,93.77,-0.0093,0,0,1,1,0
2024-01-03 00:00:00+00:00,1.4399,21.72,2.5816,1021,109.7,93.5,-0.0092,0,0,0,0,0
2024-01-03 01:00:00+00:00,1.4934,11.18,2.5502,1287,109.58,93.39,-0.0188,1,0,0,0,0
2024-01-03 02:00:00+00:00,1.5638,21.62,2.575,1349,109.48,93.16,-0.0262,1,0,0,0,0
2024-01-03 03:00:00+00:00,1.6258,18.07,2.5632,1440,109.28,93.02,-0.0245,1,0,0,0,0
2024-01-03 04:00:00+00:00,1.6736,16.62,2.6137,1387,109.12,92.91,-0.0282,1,0,0,0,0
2024-01-03 05:00:00+00:00,1.7487,23.06,2.6013,1394,108.93,92.76,-0.0229,1,0,0,0,0
2024-01-03 06:00:00+00:00,1.821,25.15,2.604,1596,108.78,92.58,-0.0181,1,0,0,1,0
2024-01-03 07:00:00+00:00,1.8761,24.66,2.6338,1571,108.66,92.34,-0.0145,1,0,0,1,0
2024-01-03 08:00:00+00:00,1.8864,15.8,2.6726,1580,108.51,92.27,-0.0054,1,0,0,0,0
2024-01-03 09:00:00+00:00,1.913,18.45,2.7121,1293,108.2,92.16,-0.0058,1,0,0,0,0
2024-01-03 10:00:00+00:00,1.8695,21.66,2.7341,1227,108.09,92.11,-0.0025,0,1,0,0,0
2024-01-03 11:00:00+00:00,1.8565,24.88,2.7523,965,107.89,92.02,-0.0055,0,1,0,1,0
2024-01-03 12:00:00+00:00,1.7759,17.6,2.7616,961,107.63,91.99,0.0068,0,1,0,0,0
2024-01-03 13:00:00+00:00,1.746,19.07,2.7745,970,107.4,92.0,0.0167,0,1,0,0,0
2024-01-03 14:00:00+00:00,1.6482,14.47,2.7608,703,107.16,92.05,0.0168,0,1,0,0,0
2024-01-03 15:00:00+00:00,1.5415,14.02,2.7418,710,106.86,92.05,0.0187,0,1,0,0,0
2024-01-03 16:00:00+00:00,1.524,24.06,2.7393,548,106.6,92.19,0.0255,0,1,0,1,0
2024-01-03 17:00:00+00:00,1.5418,26.78,2.7335,549,106.29,92.25,0.0248,0,0,1,1,0
2024-01-03 18:00:00+00:00,1.4961,19.64,2.7221,385,105.99,92.29,0.0215,0,0,1,0,0
2024-01-03 19:00:00+00:00,1.4857,25.02,2.7338,526,105.65,92.42,0.0259,0,0,1,1,0
2024-01-03 20:00:00+00:00,1.4598,21.81,2.7506,268,105.28,92.59,0.0263,0,0,1,0,0
2024-01-03 21:00:00+00:00,1.4507,16.77,2.7499,628,104.97,92.77,0.0272,0,0,1,0,0
2024-01-03 22:00:00+00:00,1.4377,21.81,2.7769,587,104.68,93.04,0.023,0,0,1,0,0
2024-01-03 23:00:00+00:00,1.4923,27.69,2.7513,991,104.38,93.25,0.0144,0,0,1,1,0
2024-01-04 00:00:00+00:00,1.4699,19.82,2.7449,1078,104.09,93.48,0.0156,0,0,0,0,0
2024-01-04 01:00:00+00:00,1.5068,27.82,2.7281,1176,103.76,93.68,0.0201,1,0,0,1,0
2024-01-04 02:00:00+00:00,1.4797,8.0,2.6885,1402,103.39,93.99,0.019,1,0,0,0,0
2024-01-04 03:00:00+00:00,1.5618,24.11,2.685,1259,103.08,94.29,0.0262,1,0,0,1,0
2024-01-04 04:00:00+00:00,1.6112,20.44,2.6807,1608,102.66,94.57,0.0227,1,0,0,0,0
2024-01-04 05:00:00+00:00,1.6486,18.5,2.7092,1576,102.25,94.8,0.0174,1,0,0,0,0
2024-01-04 06:00:00+00:00,1.6768,20.46,2.7197,1476,101.84,95.2,0.017,1,0,0,0,0
2024-01-04 07:00:00+00:00,1.6628,10.06,2.697,1597,101.53,95.48,0.0166,1,0,0,0,0
2024-01-04 08:00:00+00:00,1.6534,18.9,2.7321,1322,101.21,95.81,0.0205,1,0,0,0,0
2024-01-04 09:00:00+00:00,1.6534,21.79,2.7542,1271,100.86,96.2,0.0166,1,0,0,0,0
2024-01-04 10:00:00+00:00,1.6727,27.39,2.7633,1189,100.54,96.52,0.0234,0,1,0,1,0
2024-01-04 11:00:00+00:00,1.6233,17.41,2.7562,1077,100.13,96.83,0.0333,0,1,0,0,0
2024-01-04 12:00:00+00:00,1.558,15.96,2.7344,894,99.77,97.12,0.0331,0,1,0,0,0
2024-01-04 13:00:00+00:00,1.4893,17.49,2.7246,993,99.39,97.55,0.0393,0,1,0,0,0
2024-01-04 14:00:00+00:00,1.4457,24.58,2.7441,724,99.06,97.93,0.034,0,1,0,1,0
2024-01-04 15:00:00+00:00,1.433,21.64,2.7794,682,98.68,98.49,0.0394,0,1,0,0,0
2024-01-04 16:00:00+00:00,1.3554,17.35,2.8075,510,98.29,98.86,0.0447,0,1,0,0,0
2024-01-04 17:00:00+00:00,1.3052,22.57,2.7946,335,97.95,99.23,0.049,0,0,1,0,0
2024-01-04 18:00:00+00:00,1.2466,20.49,2.7693,527,97.63,99.62,0.0489,0,0,1,0,0
2024-01-04 19:00:00+00:00,1.2179,24.84,2.7694,326,97.23,100.05,0.0341,0,0,1,1,0
2024-01-04 20:00:00+00:00,1.1674,16.49,2.7313,560,96.87,100.45,0.0309,0,0,1,0,0
2024-01-04 21:00:00+00:00,1.1482,18.36,2.7355,510,96.46,100.89,0.0278,0,0,1,0,0
2024-01-04 22:00:00+00:00,1.1162,18.04,2.7302,949,95.99,101.25,0.0229,0,0,1,0,0
2024-01-04 23:00:00+00:00,1.0874,12.68,2.7186,962,95.65,101.59,0.0235,0,0,1,0,0
2024-01-05 00:00:00+00:00,1.079,21.48,2.6845,1011,95.34,101.9,0.0214,0,0,0,0,0
2024-01-05 01:00:00+00:00,1.1144,21.31,2.6929,1256,95.02,102.19,0.0173,1,0,0,0,0
2024-01-05 02:00:00+00:00,1.1414,20.03,2.6803,1165,94.59,102.55,0.012,1,0,0,0,0
2024-01-05 03:00:00+00:00,1.2013,18.83,2.6551,1408,94.26,102.91,0.0084,1,0,0,0,0
2024-01-05 04:00:00+00:00,1.1866,12.92,2.5961,1453,93.83,103.25,0.014,1,0,0,0,0
2024-01-05 05:00:00+00:00,1.2122,17.9,2.5946,1509,93.6,103.67,0.0107,1,0,0,0,0
2024-01-05 06:00:00+00:00,1.2738,18.29,2.6291,1627,93.25,104.07,0.0081,1,0,0,0,0
2024-01-05 07:00:00+00:00,1.2874,15.99,2.661,1556,93.02,104.39,0.0059,1,0,0,0,0
2024-01-05 08:00:00+00:00,1.3143,19.19,2.6503,1462,92.79,104.62,0.0076,1,0,0,0,0
2024-01-05 09:00:00+00:00,1.3495,22.02,2.6367,1188,92.47,104.89,0.0098,1,0,0,0,0
2024-01-05 10:00:00+00:00,1.3531,29.43,2.6448,1154,92.16,105.15,-0.0054,0,1,0,1,0
2024-01-05 11:00:00+00:00,1.3069,20.87,2.6233,1117,91.93,105.39,-0.0003,0,1,0,0,0
2024-01-05 12:00:00+00:00,1.2502,21.29,2.6281,1009,91.65,105.61,0.0069,0,1,0,0,0
2024-01-05 13:00:00+00:00,1.1501,19.63,2.6422,758,91.42,105.82,0.0017,0,1,0,0,0
2024-01-05 14:00:00+00:00,1.0489,10.41,2.6653,991,91.18,106.02,-0.0032,0,1,0,0,0
2024-01-05 15:00:00+00:00,1.0076,19.87,2.6616,798,90.89,106.18,-0.0055,0,1,0,0,0
2024-01-05 16:00:00+00:00,0.9568,20.3,2.656,627,90.58,106.37,-0.0092,0,1,0,0,0
2024-01-05 17:00:00+00:00,0.9746,32.32,2.6368,524,90.41,106.55,-0.0081,0,0,1,1,0
2024-01-05 18:00:00+00:00,0.908,19.04,2.6189,479,90.22,106.65,-0.0178,0,0,1,0,0
2024-01-05 19:00:00+00:00,0.8602,21.51,2.6132,422,90.03,106.83,-0.0234,0,0,1,0,0
2024-01-05 20:00:00+00:00,0.8549,19.83,2.6194,575,89.93,106.88,-0.0157,0,0,1,0,0
2024-01-05 21:00:00+00:00,0.8112,14.16,2.6365,672,89.85,106.87,-0.0204,0,0,1,0,0
2024-01-05 22:00:00+00:00,0.8541,25.71,2.6191,626,89.72,106.95,-0.0142,0,0,1,1,0
2024-01-05 23:00:00+00:00,0.8986,23.76,2.6477,904,89.6,106.94,-0.0124,0,0,1,1,0
2024-01-06 00:00:00+00:00,0.9473,23.96,2.6408,984,89.54,106.97,-0.0214,0,0,0,1,1
2024-01-06 01:00:00+00:00,0.961,15.45,2.639,939,89.39,106.84,-0.0183,1,0,0,0,1
2024-01-06 02:00:00+00:00,1.0086,27.01,2.6227,1164,89.34,106.87,-0.0188,1,0,0,1,1
2024-01-06 03:00:00+00:00,0.9991,12.99,2.573,1312,89.32,106.85,-0.0211,1,0,0,0,1
2024-01-06 04:00:00+00:00,1.0758,22.93,2.5899,1622,89.32,106.7,-0.0199,1,0,0,0,1
2024-01-06 05:00:00+00:00,1.1716,30.95,2.6037,1539,89.2,106.53,-0.0175,1,0,0,1,1
2024-01-06 06:00:00+00:00,1.1688,15.05,2.5971,1366,89.16,106.49,-0.014,1,0,0,0,1
2024-01-06 07:00:00+00:00,1.2002,17.17,2.5974,1532,89.12,106.32,-0.0081,1,0,0,0,1
2024-01-06 08:00:00+00:00,1.2148,20.5,2.6068,1278,89.15,106.11,-0.0061,1,0,0,0,1
2024-01-06 09:00:00+00:00,1.2068,17.48,2.5745,1462,89.21,105.82,-0.0129,1,0,0,0,1
2024-01-06 10:00:00+00:00,1.1701,12.25,2.5631,1203,89.33,105.6,-0.0153,0,1,0,0,1
2024-01-06 11:00:00+00:00,1.1392,20.34,2.5784,1120,89.37,105.37,-0.0006,0,1,0,0,1
2024-01-06 12:00:00+00:00,1.1079,14.69,2.5525,1133,89.42,105.17,0.003,0,1,0,0,1
2024-01-06 13:00:00+00:00,1.0537,22.37,2.5579,742,89.57,104.85,0.0149,0,1,0,0,1
2024-01-06 14:00:00+00:00,0.9891,15.4,2.5302,610,89.68,104.5,0.0219,0,1,0,0,1
2024-01-06 15:00:00+00:00,0.9954,27.75,2.5392,588,89.87,104.23,0.0231,0,1,0,1,1
2024-01-06 16:00:00+00:00,0.8936,16.08,2.5381,671,90.01,103.98,0.0246,0,1,0,0,1
2024-01-06 17:00:00+00:00,0.8366,18.39,2.5054,365,90.09,103.58,0.0244,0,0,1,0,1
2024-01-06 18:00:00+00:00,0.8413,24.07,2.5286,217,90.18,103.3,0.0157,0,0,1,1,1
2024-01-06 19:00:00+00:00,0.8043,13.85,2.5137,472,90.28,102.96,0.0158,0,0,1,0,1
2024-01-06 20:00:00+00:00,0.7925,21.14,2.4973,622,90.49,102.66,0.0218,0,0,1,0,1
2024-01-06 21:00:00+00:00,0.8174,26.54,2.5014,766,90.74,102.29,0.0188,0,0,1,1,1
2024-01-06 22:00:00+00:00,0.811,11.96,2.5243,704,91.04,101.78,0.0209,0,0,1,0,1
2024-01-06 23:00:00+00:00,0.8635,20.92,2.5038,829,91.3,101.39,0.0252,0,0,1,0,1
2024-01-07 00:00:00+00:00,0.884,21.3,2.505,1115,91.58,101.05,0.0206,0,0,0,0,1
2024-01-07 01:00:00+00:00,0.9417,23.91,2.5135,942,91.79,100.6,0.0184,1,0,0,1,1
2024-01-07 02:00:00+00:00,0.9835,13.82,2.5272,1211,91.98,100.17,0.0133,1,0,0,0,1
2024-01-07 03:00:00+00:00,1.0389,13.4,2.5305,1373,92.29,99.75,0.0092,1,0,0,0,1
2024-01-07 04:00:00+00:00,1.1184,22.61,2.5228,1478,92.58,99.19,0.0027,1,0,0,0,1
2024-01-07 05:00:00+00:00,1.1993,21.48,2.506,1432,92.86,98.86,-0.0018,1,0,0,0,1
2024-01-07 06:00:00+00:00,1.246,21.25,2.5077,1503,93.17,98.39,0.0053,1,0,0,0,1
2024-01-07 07:00:00+00:00,1.2565,21.73,2.4862,1234,93.48,98.0,0.0007,1,0,0,0,1
2024-01-07 08:00:00+00:00,1.269,16.6,2.4279,1367,93.85,97.58,0.0014,1,0,0,0,1
2024-01-07 09:00:00+00:00,1.2978,21.16,2.4374,1399,94.23,97.23,-0.0011,1,0,0,0,1
2024-01-07 10:00:00+00:00,1.2969,21.47,2.4561,1152,94.58,96.84,0.0048,0,1,0,0,1
2024-01-07 11:00:00+00:00,1.2483,16.43,2.4092,1135,94.94,96.42,0.0113,0,1,0,0,1
2024-01-07 12:00:00+00:00,1.2425,29.33,2.39,1045,95.3,95.97,0.0156,0,1,0,1,1
2024-01-07 13:00:00+00:00,1.2047,22.37,2.4034,836,95.62,95.61,0.0172,0,1,0,0,1
2024-01-07 14:00:00+00:00,1.15,14.04,2.4456,767,96.0,95.13,0.016,0,1,0,0,1
2024-01-07 15:00:00+00:00,1.1335,23.28,2.4465,550,96.29,94.79,0.01,0,1,0,0,1
2024-01-07 16:00:00+00:00,1.0784,15.13,2.4325,546,96.69,94.37,0.0198,0,1,0,0,1
2024-01-07 17:00:00+00:00,1.0514,23.94,2.4295,578,96.99,94.07,0.016,0,0,1,1,1
2024-01-07 18:00:00+00:00,1.0302,25.79,2.4577,516,97.37,93.73,0.0193,0,0,1,1,1
2024-01-07 19:00:00+00:00,0.9941,15.9,2.4452,458,97.69,93.43,0.0246,0,0,1,0,1
2024-01-07 20:00:00+00:00,1.021,24.82,2.4298,589,98.09,93.12,0.0218,0,0,1,1,1
2024-01-07 21:00:00+00:00,1.0333,22.06,2.4208,718,98.46,92.73,0.027,0,0,1,0,1
2024-01-07 22:00:00+00:00,1.0307,24.11,2.4025,545,98.75,92.4,0.0308,0,0,1,1,1
2024-01-07 23:00:00+00:00,1.0932,29.48,2.406,986,99.15,92.16,0.0395,0,0,1,1,1
2024-01-08 00:00:00+00:00,1.1259,18.77,2.4394,966,99.49,91.91,0.0371,0,0,0,0,0
2024-01-08 01:00:00+00:00,1.1811,16.23,2.4465,1172,99.91,91.73,0.0307,1,0,0,0,0
2024-01-08 02:00:00+00:00,1.2465,15.55,2.442,1370,100.28,91.53,0.0282,1,0,0,0,0
2024-01-08 03:00:00+00:00,1.301,15.92,2.4367,1216,100.68,91.29,0.0292,1,0,0,0,0
2024-01-08 04:00:00+00:00,1.3755,19.61,2.4061,1362,101.0,91.07,0.0295,1,0,0,0,0
2024-01-08 05:00:00+00:00,1.4486,21.71,2.4247,1454,101.34,90.91,0.0275,1,0,0,0,0
2024-01-08 06:00:00+00:00,1.5179,21.38,2.4239,1422,101.68,90.66,0.018,1,0,0,0,0
2024-01-08 07:00:00+00:00,1.5899,24.14,2.421,1656,102.09,90.62,0.0203,1,0,0,1,0
2024-01-08 08:00:00+00:00,1.6089,20.07,2.4857,1347,102.53,90.54,0.0302,1,0,0,0,0
2024-01-08 09:00:00+00:00,1.6457,27.27,2.4918,1298,102.84,90.53,0.0325,1,0,0,1,0
2024-01-08 10:00:00+00:00,1.6223,18.68,2.4768,1270,103.25,90.4,0.0356,0,1,0,0,0
2024-01-08 11:00:00+00:00,1.6584,33.6,2.4685,1009,103.49,90.43,0.0384,0,1,0,1,0
2024-01-08 12:00:00+00:00,1.618,23.13,2.4918,960,103.77,90.53,0.0404,0,1,0,0,0
2024-01-08 13:00:00+00:00,1.5419,15.71,2.4942,902,104.05,90.47,0.0451,0,1,0,0,0
2024-01-08 14:00:00+00:00,1.4741,14.65,2.4655,717,104.31,90.54,0.047,0,1,0,0,0
2024-01-08 15:00:00+00:00,1.4201,22.41,2.4842,637,104.55,90.6,0.0455,0,1,0,0,0
2024-01-08 16:00:00+00:00,1.3368,18.88,2.471,514,104.89,90.6,0.0415,0,1,0,0,0
2024-01-08 17:00:00+00:00,1.3231,23.57,2.5088,366,105.18,90.72,0.0402,0,0,1,1,0
2024-01-08 18:00:00+00:00,1.2652,22.37,2.5303,532,105.5,90.88,0.0418,0,0,1,0,0
2024-01-08 19:00:00+00:00,1.2181,19.64,2.521,693,105.82,90.99,0.0402,0,0,1,0,0
2024-01-08 20:00:00+00:00,1.1915,15.77,2.5464,569,106.11,91.21,0.0418,0,0,1,0,0
2024-01-08 21:00:00+00:00,1.1717,12.43,2.5473,669,106.41,91.3,0.044,0,0,1,0,0
2024-01-08 22:00:00+00:00,1.165,17.77,2.5639,819,106.67,91.43,0.0482,0,0,1,0,0
2024-01-08 23:00:00+00:00,1.2204,24.28,2.573,744,106.86,91.66,0.0546,0,0,1,1,0
2024-01-09 00:00:00+00:00,1.28,21.07,2.5553,1170,107.15,91.89,0.055,0,0,0,0,0
2024-01-09 01:00:00+00:00,1.3252,13.77,2.5419,1150,107.35,92.11,0.0484,1,0,0,0,0
2024-01-09 02:00:00+00:00,1.4324,20.87,2.5621,1413,107.52,92.43,0.0467,1,0,0,0,0
2024-01-09 03:00:00+00:00,1.528,21.93,2.5547,1280,107.71,92.74,0.0469,1,0,0,0,0
2024-01-09 04:00:00+00:00,1.5832,15.58,2.5461,1615,107.86,93.09,0.0378,1,0,0,0,0
2024-01-09 05:00:00+00:00,1.6441,20.77,2.5266,1560,108.02,93.4,0.0447,1,0,0,0,0
2024-01-09 06:00:00+00:00,1.6797,20.29,2.5348,1555,108.21,93.76,0.0454,1,0,0,0,0
2024-01-09 07:00:00+00:00,1.7256,14.29,2.5757,1506,108.38,94.08,0.0473,1,0,0,0,0
2024-01-09 08:00:00+00:00,1.7702,21.79,2.5536,1408,108.48,94.54,0.0541,1,0,0,0,0
2024-01-09 09:00:00+00:00,1.7805,22.8,2.5535,1474,108.58,94.87,0.051,1,0,0,0,0
2024-01-09 10:00:00+00:00,1.8091,25.42,2.5812,1264,108.76,95.36,0.0539,0,1,0,1,0
2024-01-09 11:00:00+00:00,1.797,25.27,2.5788,933,108.88,95.74,0.0533,0,1,0,1,0
2024-01-09 12:00:00+00:00,1.7107,13.11,2.5871,888,109.08,96.07,0.0524,0,1,0,0,0
2024-01-09 13:00:00+00:00,1.6448,15.31,2.565,852,109.21,96.54,0.0485,0,1,0,0,0
2024-01-09 14:00:00+00:00,1.586,22.58,2.5729,781,109.33,96.95,0.0569,0,1,0,0,0
2024-01-09 15:00:00+00:00,1.529,22.57,2.5684,641,109.31,97.41,0.055,0,1,0,0,0
2024-01-09 16:00:00+00:00,1.4817,22.58,2.5874,689,109.39,97.88,0.0585,0,1,0,0,0
2024-01-09 17:00:00+00:00,1.5048,39.26,2.6103,322,109.4,98.32,0.0491,0,0,1,1,0
2024-01-09 18:00:00+00:00,1.4698,22.85,2.661,514,109.38,98.71,0.055,0,0,1,0,0
2024-01-09 19:00:00+00:00,1.4779,25.68,2.671,335,109.38,99.18,0.0603,0,0,1,1,0
2024-01-09 20:00:00+00:00,1.4502,24.77,2.6758,643,109.41,99.59,0.0608,0,0,1,1,0
2024-01-09 21:00:00+00:00,1.408,23.26,2.6779,637,109.4,100.04,0.0596,0,0,1,0,0
2024-01-09 22:00:00+00:00,1.3641,18.42,2.6691,792,109.31,100.35,0.0616,0,0,1,0,0
2024-01-09 23:00:00+00:00,1.4016,23.79,2.6741,784,109.28,100.78,0.0731,0,0,1,1,0
2024-01-10 00:00:00+00:00,1.3982,16.14,2.6665,1128,109.17,101.15,0.0642,0,0,0,0,0
2024-01-10 01:00:00+00:00,1.4467,18.82,2.6682,1234,109.1,101.62,0.0682,1,0,0,0,0
2024-01-10 02:00:00+00:00,1.4944,17.57,2.6929,1308,108.98,102.04,0.0636,1,0,0,0,0
2024-01-10 03:00:00+00:00,1.5279,20.41,2.6708,1341,108.85,102.43,0.0635,1,0,0,0,0
2024-01-10 04:00:00+00:00,1.6158,31.57,2.6919,1491,108.76,102.82,0.0623,1,0,0,1,0
2024-01-10 05:00:00+00:00,1.632,10.66,2.7163,1412,108.56,103.13,0.0601,1,0,0,0,0
2024-01-10 06:00:00+00:00,1.7058,23.43,2.7118,1586,108.5,103.56,0.0601,1,0,0,1,0
2024-01-10 07:00:00+00:00,1.6993,11.94,2.6672,1648,108.24,103.99,0.0544,1,0,0,0,0
2024-01-10 08:00:00+00:00,1.6879,17.64,2.6534,1540,108.03,104.33,0.0595,1,0,0,0,0
2024-01-10 09:00:00+00:00,1.7364,25.44,2.6778,1281,107.86,104.71,0.0506,1,0,0,1,0
2024-01-10 10:00:00+00:00,1.7423,20.32,2.6756,1286,107.68,104.97,0.0533,0,1,0,0,0
2024-01-10 11:00:00+00:00,1.6869,14.61,2.6538,1000,107.46,105.2,0.0516,0,1,0,0,0
2024-01-10 12:00:00+00:00,1.6164,16.42,2.6422,1057,107.23,105.46,0.0458,0,1,0,0,0
2024-01-10 13:00:00+00:00,1.591,23.4,2.6576,916,107.01,105.72,0.0468,0,1,0,1,0
2024-01-10 14:00:00+00:00,1.4895,16.35,2.667,563,106.75,105.92,0.039,0,1,0,0,0
2024-01-10 15:00:00+00:00,1.452,21.08,2.6605,530,106.56,106.14,0.0392,0,1,0,0,0
2024-01-10 16:00:00+00:00,1.3927,20.23,2.6516,539,106.33,106.34,0.0321,0,1,0,0,0
2024-01-10 17:00:00+00:00,1.3039,16.74,2.6422,487,106.1,106.45,0.0344,0,0,1,0,0
2024-01-10 18:00:00+00:00,1.3148,30.72,2.6223,379,105.76,106.62,0.0298,0,0,1,1,0
2024-01-10 19:00:00+00:00,1.3026,23.17,2.6534,556,105.46,106.78,0.0275,0,0,1,0,0
2024-01-10 20:00:00+00:00,1.2326,9.87,2.6454,592,105.14,106.88,0.029,0,0,1,0,0
2024-01-10 21:00:00+00:00,1.2312,20.93,2.6683,627,104.78,107.02,0.0251,0,0,1,0,0
2024-01-10 22:00:00+00:00,1.2111,16.69,2.6971,674,104.48,107.01,0.0248,0,0,1,0,0
2024-01-10 23:00:00+00:00,1.2817,24.26,2.7151,975,104.12,107.07,0.0173,0,0,1,1,0
2024-01-11 00:00:00+00:00,1.2593,16.04,2.7043,1166,103.82,107.02,0.0204,0,0,0,0,0
2024-01-11 01:00:00+00:00,1.2541,19.43,2.7103,1081,103.43,106.95,0.0292,1,0,0,0,0
2024-01-11 02:00:00+00:00,1.3071,22.52,2.7077,1189,103.17,106.89,0.0432,1,0,0,0,0
2024-01-11 03:00:00+00:00,1.4023,24.33,2.6876,1403,102.77,106.79,0.0437,1,0,0,1,0
2024-01-11 04:00:00+00:00,1.4163,14.0,2.6922,1397,102.43,106.68,0.0476,1,0,0,0,0
